,race,lsat,zfygpa,DOB_yr,zgpa,fulltime,fam_inc,age,gender,parttime,Dropout,pass_bar,tier,gpa
0,0.0,44.0,1.33,69.0,1.88,1.0,5.0,-62.0,1,0.0,0,1.0,4.0,2
1,0.0,29.0,-0.11,69.0,-0.57,1.0,4.0,-62.0,1,0.0,0,1.0,2.0,2
2,0.0,36.0,-0.64,65.0,-1.12,1.0,1.0,-58.0,0,0.0,0,1.0,3.0,2
3,0.0,39.0,0.34,58.0,-0.49,1.0,4.0,-51.0,0,0.0,0,1.0,3.0,2
4,0.0,48.0,1.02,68.0,0.76,1.0,4.0,-61.0,0,0.0,0,1.0,5.0,2
5,0.0,40.0,-0.64,68.0,-0.12,1.0,4.0,-61.0,1,0.0,0,1.0,3.0,2
6,0.0,34.0,0.96,69.0,0.45,1.0,3.0,-62.0,1,0.0,0,1.0,3.0,2
7,0.0,40.0,1.34,55.0,1.41,2.0,2.0,-48.0,0,1.0,0,1.0,3.0,2
8,0.0,40.0,-0.44,68.0,-1.01,1.0,4.0,-61.0,0,0.0,0,1.0,5.0,2
9,1.0,28.0,0.48,69.0,-0.04,1.0,2.0,-62.0,1,0.0,0,0.0,1.0,2
10,0.0,33.0,-0.84,67.0,-1.19,1.0,4.0,-65.0,1,0.0,0,0.0,2.0,2
11,0.0,36.0,0.09,69.0,-0.01,1.0,3.0,-62.0,1,0.0,0,1.0,4.0,2
13,0.0,31.0,0.3,69.0,0.34,1.0,2.0,-62.0,1,0.0,0,1.0,3.0,2
14,0.0,42.0,0.09,68.0,0.08,1.0,3.0,-61.0,0,0.0,0,1.0,4.0,2
15,0.0,34.0,-0.2,70.0,-0.57,1.0,4.0,-63.0,1,0.0,0,1.0,3.0,2
16,1.0,39.0,0.23,69.0,0.11,1.0,4.0,-62.0,0,0.0,0,1.0,5.0,2
17,0.0,33.0,-0.08,69.0,-0.6,1.0,4.0,-62.0,1,0.0,0,1.0,5.0,2
18,0.0,44.0,-0.15,61.0,-0.03,1.0,3.0,-54.0,1,0.0,0,1.0,4.0,2
20,0.0,32.0,-0.56,69.0,-0.01,1.0,3.0,-62.0,1,0.0,0,1.0,3.0,2
21,0.0,30.0,-1.32,69.0,-1.51,1.0,3.0,-62.0,1,0.0,0,1.0,3.0,2
22,0.0,36.0,-0.12,66.0,-0.06,1.0,3.0,-59.0,1,0.0,0,1.0,4.0,2
23,0.0,38.0,0.55,68.0,0.46,1.0,3.0,-61.0,1,0.0,0,1.0,3.0,2
24,0.0,35.0,1.26,68.0,0.98,1.0,4.0,-61.0,0,0.0,0,1.0,3.0,2
25,0.0,31.0,0.61,66.0,0.7,1.0,3.0,-59.0,1,0.0,0,1.0,2.0,2
26,0.0,47.0,-0.6,69.0,-0.37,1.0,4.0,-62.0,0,0.0,0,1.0,6.0,2
27,0.0,40.0,0.53,69.0,-0.11,1.0,4.0,-67.0,1,0.0,0,1.0,3.0,2
28,0.0,30.0,0.3,68.0,0.23,1.0,3.0,-61.0,1,0.0,0,1.0,2.0,2
29,0.0,34.0,1.75,51.0,3.15,1.0,3.0,-44.0,0,0.0,0,1.0,3.0,2
30,0.0,39.0,-0.81,56.0,-0.07,1.0,3.0,-49.0,0,0.0,0,1.0,4.0,2
31,0.0,48.0,1.26,70.0,0.37,1.0,3.0,-63.0,0,0.0,0,1.0,6.0,2
32,0.0,37.0,0.23,68.0,-0.53,1.0,1.0,-61.0,0,0.0,0,1.0,4.0,2
33,0.0,39.0,0.19,69.0,0.45,1.0,2.0,-62.0,1,0.0,0,1.0,4.0,2
34,0.0,33.0,-0.48,69.0,-0.76,1.0,3.0,-62.0,1,0.0,0,1.0,3.0,2
35,0.0,45.0,0.23,67.0,0.62,1.0,4.0,-60.0,0,0.0,0,1.0,4.0,2
36,0.0,36.0,1.54,65.0,1.22,1.0,4.0,-58.0,1,0.0,0,1.0,3.0,2
37,0.0,44.0,2.65,67.0,1.73,1.0,4.0,-60.0,0,0.0,0,1.0,5.0,2
38,0.0,30.5,-1.99,69.0,-2.17,1.0,4.0,-62.0,0,0.0,0,1.0,3.0,2
39,0.0,40.0,2.17,55.0,2.27,1.0,3.0,-48.0,0,0.0,0,1.0,4.0,2
40,0.0,48.0,0.4,69.0,0.87,1.0,4.0,-62.0,1,0.0,0,1.0,5.0,2
41,0.0,39.0,0.1,58.0,-0.06,1.0,3.0,-51.0,1,0.0,0,1.0,5.0,2
42,0.0,31.0,1.21,54.0,1.49,2.0,3.0,-47.0,1,1.0,0,1.0,3.0,2
43,0.0,33.5,0.55,69.0,0.63,1.0,4.0,-62.0,0,0.0,0,1.0,5.0,2
44,0.0,31.0,1.26,68.0,1.6,1.0,3.0,-61.0,1,0.0,0,1.0,3.0,2
45,0.0,32.0,-0.86,69.0,-0.65,1.0,4.0,-62.0,0,0.0,0,1.0,3.0,2
46,0.0,38.0,-0.56,66.0,-0.83,1.0,3.0,-59.0,0,0.0,0,1.0,5.0,2
47,0.0,30.0,0.53,69.0,1.83,1.0,4.0,-62.0,1,0.0,0,1.0,3.0,2
48,0.0,37.0,1.51,68.0,1.09,1.0,4.0,-61.0,0,0.0,0,1.0,3.0,2
49,0.0,32.0,-0.32,67.0,-0.31,1.0,4.0,-60.0,1,0.0,0,1.0,5.0,2
51,0.0,35.0,0.26,65.0,0.26,1.0,4.0,-58.0,0,0.0,0,1.0,4.0,2
52,0.0,44.0,1.14,67.0,1.34,1.0,4.0,-60.0,1,0.0,0,1.0,3.0,2
54,0.0,32.0,-1.44,61.0,-0.93,1.0,3.0,-54.0,1,0.0,0,1.0,4.0,2
55,0.0,37.0,1.65,70.0,1.68,1.0,4.0,-63.0,1,0.0,0,1.0,4.0,2
56,0.0,28.0,-1.21,68.0,-0.87,1.0,4.0,-61.0,1,0.0,0,1.0,3.0,2
57,0.0,39.0,1.84,66.0,1.89,1.0,3.0,-59.0,0,0.0,0,1.0,4.0,2
58,0.0,35.0,0.81,66.0,1.33,1.0,4.0,-59.0,0,0.0,0,1.0,2.0,2
59,1.0,37.0,-0.83,70.0,-1.76,1.0,4.0,-68.0,1,0.0,0,1.0,5.0,2
60,0.0,46.0,-0.6,67.0,-0.7,1.0,4.0,-60.0,0,0.0,0,1.0,6.0,2
61,0.0,39.0,-0.99,66.0,-0.73,1.0,4.0,-59.0,0,0.0,0,1.0,5.0,2
63,0.0,43.0,0.06,51.0,0.3,1.0,3.0,-44.0,1,0.0,0,1.0,4.0,2
64,0.0,34.0,0.84,69.0,0.68,1.0,4.0,-62.0,1,0.0,0,1.0,3.0,2
65,0.0,33.0,0.58,68.0,0.15,1.0,3.0,-61.0,1,0.0,0,1.0,3.0,2
66,0.0,43.0,2.0,62.0,1.97,1.0,4.0,-55.0,1,0.0,0,1.0,3.0,2
67,0.0,41.0,-0.28,66.0,0.25,1.0,3.0,-59.0,1,0.0,0,1.0,6.0,2
69,0.0,33.0,0.58,61.0,0.05,1.0,2.0,-54.0,1,0.0,0,1.0,3.0,2
70,0.0,35.0,0.27,67.0,0.06,1.0,3.0,-60.0,0,0.0,0,1.0,2.0,2
71,0.0,42.0,-0.11,68.0,-0.1,1.0,1.0,-61.0,1,0.0,0,1.0,4.0,2
72,1.0,36.0,0.36,65.0,0.52,1.0,2.0,-58.0,0,0.0,0,1.0,4.0,2
73,0.0,46.0,-1.16,54.0,-0.51,1.0,4.0,-47.0,1,0.0,0,1.0,5.0,2
74,0.0,38.0,1.61,68.0,1.68,1.0,3.0,-61.0,1,0.0,0,1.0,3.0,2
76,0.0,35.0,-0.98,68.0,-0.46,1.0,3.0,-61.0,0,0.0,0,1.0,2.0,2
77,0.0,37.0,-0.1,66.0,-0.33,1.0,3.0,-59.0,0,0.0,0,1.0,3.0,2
78,0.0,37.7,0.46,62.0,0.51,1.0,3.0,-55.0,1,0.0,0,1.0,4.0,2
79,0.0,43.0,0.23,68.0,-0.44,1.0,4.0,-61.0,0,0.0,0,1.0,5.0,2
80,1.0,31.0,0.05,70.0,0.18,1.0,3.0,-63.0,0,0.0,0,1.0,5.0,2
81,0.0,42.0,-0.02,54.0,0.14,1.0,2.0,-47.0,1,0.0,0,1.0,4.0,2
82,0.0,35.0,-0.22,55.0,0.41,2.0,3.0,-48.0,0,1.0,0,1.0,3.0,2
83,0.0,43.5,1.19,69.0,1.31,1.0,5.0,-62.0,0,0.0,0,1.0,5.0,2
84,0.0,29.0,0.16,69.0,0.39,1.0,4.0,-62.0,0,0.0,0,1.0,2.0,2
85,0.0,38.0,0.05,49.0,-0.35,1.0,3.0,-42.0,1,0.0,0,1.0,4.0,2
86,0.0,37.0,0.24,69.0,0.52,1.0,4.0,-62.0,0,0.0,0,1.0,3.0,2
87,0.0,40.0,0.54,62.0,0.08,1.0,3.0,-55.0,0,0.0,0,1.0,3.0,2
88,0.0,44.0,-0.95,69.0,-0.39,1.0,3.0,-62.0,0,0.0,0,1.0,6.0,2
89,0.0,43.0,-1.06,67.0,-1.49,1.0,3.0,-60.0,0,0.0,0,1.0,4.0,2
91,0.0,38.0,1.32,66.0,0.98,1.0,3.0,-59.0,0,0.0,0,1.0,3.0,2
92,0.0,41.0,0.35,70.0,0.03,1.0,5.0,-63.0,1,0.0,0,1.0,4.0,2
93,0.0,45.0,0.15,56.0,0.95,1.0,2.0,-49.0,0,0.0,0,0.0,3.0,2
94,0.0,32.5,0.28,68.0,-0.2,1.0,4.0,-61.0,0,0.0,0,1.0,3.0,2
95,0.0,35.0,-0.07,69.0,-0.12,1.0,5.0,-62.0,0,0.0,0,1.0,4.0,2
97,0.0,32.0,-0.58,64.0,-0.07,1.0,4.0,-57.0,1,0.0,0,1.0,4.0,2
98,0.0,39.0,0.02,69.0,-0.1,1.0,4.0,-62.0,1,0.0,0,1.0,3.0,2
99,0.0,40.0,0.14,61.0,-0.79,1.0,4.0,-54.0,0,0.0,0,1.0,5.0,2
100,0.0,45.0,-1.58,68.0,-1.89,1.0,4.0,-61.0,0,0.0,0,1.0,6.0,2
101,0.0,35.0,0.86,64.0,1.03,1.0,2.0,-57.0,1,0.0,0,1.0,4.0,2
102,0.0,29.0,0.05,68.0,-0.42,1.0,3.0,-61.0,0,0.0,0,1.0,3.0,2
103,0.0,46.0,-0.45,69.0,-0.37,1.0,5.0,-62.0,0,0.0,0,1.0,5.0,2
104,0.0,44.0,-0.24,69.0,-0.34,1.0,3.0,-62.0,1,0.0,0,1.0,4.0,2
106,0.0,42.0,0.24,69.0,1.29,1.0,4.0,-67.0,1,0.0,0,1.0,3.0,2
107,0.0,32.0,0.96,69.0,1.06,1.0,4.0,-62.0,1,0.0,0,1.0,4.0,2
108,0.0,43.0,-0.66,69.0,-0.79,1.0,4.0,-62.0,1,0.0,0,1.0,5.0,2
109,0.0,30.5,-0.41,68.0,-0.93,1.0,3.0,-61.0,1,0.0,0,1.0,3.0,2
110,0.0,35.0,1.43,60.0,1.53,1.0,1.0,-53.0,1,0.0,0,1.0,3.0,2
111,0.0,34.0,-0.41,69.0,-0.65,1.0,3.0,-62.0,0,0.0,0,1.0,3.0,2
112,0.0,38.0,0.09,69.0,-0.09,1.0,3.0,-62.0,1,0.0,0,1.0,4.0,2
113,0.0,33.0,-0.38,70.0,0.17,1.0,3.0,-63.0,1,0.0,0,1.0,5.0,2
114,0.0,36.0,-0.06,65.0,0.16,1.0,3.0,-58.0,0,0.0,0,1.0,5.0,2
115,0.0,41.0,1.0,68.0,1.09,1.0,4.0,-61.0,0,0.0,0,1.0,5.0,2
117,0.0,40.0,0.69,60.0,1.47,1.0,4.0,-53.0,1,0.0,0,1.0,3.0,2
118,1.0,23.3,0.21,68.0,0.5,1.0,2.0,-61.0,0,0.0,0,1.0,1.0,2
119,0.0,42.0,1.0,69.0,0.03,1.0,4.0,-62.0,1,0.0,0,1.0,5.0,2
120,0.0,47.0,1.87,62.0,1.68,2.0,3.0,-55.0,0,1.0,0,1.0,5.0,2
121,0.0,43.0,0.61,69.0,0.07,1.0,5.0,-62.0,0,0.0,0,1.0,4.0,2
123,0.0,30.0,-0.64,70.0,-0.84,1.0,4.0,-63.0,0,0.0,0,1.0,3.0,2
124,0.0,38.0,1.4,69.0,1.05,1.0,4.0,-62.0,1,0.0,0,1.0,3.0,2
125,0.0,44.0,-1.07,62.0,-0.78,1.0,3.0,-55.0,0,0.0,0,1.0,6.0,2
126,0.0,43.0,-0.6,69.0,-0.57,1.0,4.0,-62.0,0,0.0,0,1.0,6.0,2
127,0.0,45.0,-0.38,68.0,-0.35,1.0,4.0,-66.0,0,0.0,0,1.0,3.0,2
129,0.0,38.0,-0.07,51.0,-0.62,1.0,3.0,-49.0,0,0.0,0,1.0,3.0,2
130,0.0,41.0,0.58,69.0,0.45,1.0,4.0,-62.0,1,0.0,0,1.0,3.0,2
131,0.0,37.0,-0.82,68.0,-0.52,1.0,3.0,-61.0,0,0.0,0,1.0,4.0,2
132,0.0,25.0,-0.26,62.0,-0.77,1.0,5.0,-60.0,1,0.0,0,0.0,4.0,2
133,1.0,40.0,-0.22,69.0,-0.37,1.0,3.0,-62.0,1,0.0,0,1.0,4.0,2
134,0.0,40.0,0.04,67.0,0.16,1.0,3.0,-60.0,1,0.0,0,1.0,4.0,2
135,0.0,33.0,-0.95,68.0,-1.09,1.0,4.0,-61.0,0,0.0,0,1.0,4.0,2
138,0.0,31.5,0.6,66.0,1.03,1.0,4.0,-59.0,1,0.0,0,1.0,5.0,2
139,0.0,33.0,-0.57,69.0,-0.36,1.0,3.0,-62.0,1,0.0,0,1.0,5.0,2
140,0.0,43.0,2.32,67.0,2.33,1.0,4.0,-60.0,0,0.0,0,1.0,3.0,2
141,0.0,39.0,0.39,66.0,0.61,1.0,4.0,-59.0,1,0.0,0,1.0,3.0,2
142,0.0,43.0,0.46,69.0,0.58,1.0,3.0,-62.0,0,0.0,0,1.0,5.0,2
143,0.0,39.0,-0.41,56.0,0.02,1.0,2.0,-49.0,1,0.0,0,1.0,5.0,2
